viewCount,likeCount,dislikeCount,commentCount,subscriberCount,channelVideoCount,channelViewCount,PrevCommentCount,PrevDislikeCount,PrevLikeCount,PrevViewCount,Days,Hours_published,Age_Channel
699340,61717,1030,5247,1.40E+07,1348,2504291435,7786,1430,100952,2054701,4,96,13
2054701,100952,1430,7786,1.40E+07,1348,2504291435,8100,3338,124751,2360007,3,72,13
2360007,124751,3338,8100,1.40E+07,1348,2504291435,21040,3724,242097,6329575,1,24,13
6329575,242097,3724,21040,1.40E+07,1348,2504291435,23967,3289,179339,4581568,1,24,13
4581568,179339,3289,23967,1.40E+07,1348,2504291435,2726,804,39419,862614,4,96,13
862614,39419,804,2726,1.40E+07,1348,2504291435,2105,386,28866,526256,1,24,13
526256,28866,386,2105,1.40E+07,1348,2504291435,1955,550,31892,656124,1,24,13
656124,31892,550,1955,1.40E+07,1348,2504291435,3139,1295,51127,1356699,1,24,13
2039076,88559,2860,5588,1.40E+07,1348,2504291435,8684,1583,104596,2626782,1,24,13
2626782,104596,1583,8684,1.40E+07,1348,2504291435,14348,2100,119724,3068340,1,24,13
3068340,119724,2100,14348,1.40E+07,1348,2504291435,17106,1843,152950,3287341,3,72,13
3287341,152950,1843,17106,1.40E+07,1348,2504291435,13060,1559,104809,1861091,2,48,13
1861091,104809,1559,13060,1.40E+07,1348,2504291435,18729,5971,217344,1838036,5,120,13
1838036,217344,5971,18729,1.40E+07,1348,2504291435,5269,1142,71631,1667504,8,192,13
1667504,71631,1142,5269,1.40E+07,1348,2504291435,10739,2528,126922,3296539,1,24,13
3296539,126922,2528,10739,1.40E+07,1348,2504291435,7591,2238,114518,2380664,4,96,13
2380664,114518,2238,7591,1.40E+07,1348,2504291435,6306,1857,109139,2217829,2,48,13
2217829,109139,1857,6306,1.40E+07,1348,2504291435,8027,1704,119218,3017151,4,96,13
3017151,119218,1704,8027,1.40E+07,1348,2504291435,8256,1466,107261,2225962,3,72,13
